dependency_name,parsed_date,version,serializable_cnt,add_class,remove_class,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,next_version,download_url
ch.qos.logback.logback-classic,2007-05-24,0.9.6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.6/logback-classic-0.9.6.jar
ch.qos.logback.logback-classic,2007-05-29,0.9.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.7/logback-classic-0.9.7.jar
ch.qos.logback.logback-classic,2007-08-22,0.9.8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.8/logback-classic-0.9.8.jar
ch.qos.logback.logback-classic,2008-03-26,0.9.9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.9.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.9/logback-classic-0.9.9.jar
ch.qos.logback.logback-classic,2008-10-27,0.9.10,10,4.0,1.0,0.0,0.0,0.0,0.0,0.9.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.10/logback-classic-0.9.10.jar
ch.qos.logback.logback-classic,2008-10-28,0.9.11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.11/logback-classic-0.9.11.jar
ch.qos.logback.logback-classic,2008-12-04,0.9.12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.12/logback-classic-0.9.12.jar
ch.qos.logback.logback-classic,2008-12-05,0.9.13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9.14,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.13/logback-classic-0.9.13.jar
ch.qos.logback.logback-classic,2008-12-29,0.9.14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9.15,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.14/logback-classic-0.9.14.jar
ch.qos.logback.logback-classic,2009-02-12,0.9.15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.9.16,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.15/logback-classic-0.9.15.jar
ch.qos.logback.logback-classic,2009-07-17,0.9.16,8,3.0,2.0,0.0,3.0,0.0,0.0,0.9.17,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.16/logback-classic-0.9.16.jar
ch.qos.logback.logback-classic,2009-08-09,0.9.17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.18,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.17/logback-classic-0.9.17.jar
ch.qos.logback.logback-classic,2009-12-03,0.9.18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.19,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.18/logback-classic-0.9.18.jar
ch.qos.logback.logback-classic,2010-03-24,0.9.19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.20,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.19/logback-classic-0.9.19.jar
ch.qos.logback.logback-classic,2010-04-01,0.9.20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.21,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.20/logback-classic-0.9.20.jar
ch.qos.logback.logback-classic,2010-05-08,0.9.21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.22,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.21/logback-classic-0.9.21.jar
ch.qos.logback.logback-classic,2010-06-21,0.9.22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.23,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.22/logback-classic-0.9.22.jar
ch.qos.logback.logback-classic,2010-06-29,0.9.23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.24,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.23/logback-classic-0.9.23.jar
ch.qos.logback.logback-classic,2010-06-30,0.9.24,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.25,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.24/logback-classic-0.9.24.jar
ch.qos.logback.logback-classic,2010-10-13,0.9.25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.26,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.25/logback-classic-0.9.25.jar
ch.qos.logback.logback-classic,2010-10-20,0.9.26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.27,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.26/logback-classic-0.9.26.jar
ch.qos.logback.logback-classic,2010-12-22,0.9.27,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.28,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.27/logback-classic-0.9.27.jar
ch.qos.logback.logback-classic,2011-01-25,0.9.28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.29,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.28/logback-classic-0.9.28.jar
ch.qos.logback.logback-classic,2011-06-09,0.9.29,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9.30,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.29/logback-classic-0.9.29.jar
ch.qos.logback.logback-classic,2011-09-20,0.9.30,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/0.9.30/logback-classic-0.9.30.jar
ch.qos.logback.logback-classic,2011-11-01,1.0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.0/logback-classic-1.0.0.jar
ch.qos.logback.logback-classic,2012-03-07,1.0.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.1/logback-classic-1.0.1.jar
ch.qos.logback.logback-classic,2012-04-26,1.0.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.2/logback-classic-1.0.2.jar
ch.qos.logback.logback-classic,2012-05-03,1.0.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.3/logback-classic-1.0.3.jar
ch.qos.logback.logback-classic,2012-05-31,1.0.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.4/logback-classic-1.0.4.jar
ch.qos.logback.logback-classic,2012-06-05,1.0.5,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.6,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.5/logback-classic-1.0.5.jar
ch.qos.logback.logback-classic,2012-06-07,1.0.6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.7,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.6/logback-classic-1.0.6.jar
ch.qos.logback.logback-classic,2012-08-23,1.0.7,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.8,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.7/logback-classic-1.0.7.jar
ch.qos.logback.logback-classic,2012-12-04,1.0.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.9,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.8/logback-classic-1.0.8.jar
ch.qos.logback.logback-classic,2012-12-04,1.0.9,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.10,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.9/logback-classic-1.0.9.jar
ch.qos.logback.logback-classic,2013-03-15,1.0.10,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.11,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.10/logback-classic-1.0.10.jar
ch.qos.logback.logback-classic,2013-03-25,1.0.11,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.12,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.11/logback-classic-1.0.11.jar
ch.qos.logback.logback-classic,2013-04-26,1.0.12,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0.13,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.12/logback-classic-1.0.12.jar
ch.qos.logback.logback-classic,2013-05-10,1.0.13,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.0,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.0.13/logback-classic-1.0.13.jar
ch.qos.logback.logback-classic,2014-01-28,1.1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.1,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.0/logback-classic-1.1.0.jar
ch.qos.logback.logback-classic,2014-02-05,1.1.1,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.2,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.1/logback-classic-1.1.1.jar
ch.qos.logback.logback-classic,2014-04-02,1.1.2,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.3,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.2/logback-classic-1.1.2.jar
ch.qos.logback.logback-classic,2015-03-24,1.1.3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.4,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.3/logback-classic-1.1.3.jar
ch.qos.logback.logback-classic,2016-02-11,1.1.4,8,0.0,0.0,0.0,0.0,0.0,0.0,1.1.5,https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.1.4/logback-classic-1.1.4.jar
